CommandLineToolId,Implemented,Name,Description,Version,Namespace,ExeName,OutputExtension,Result,RedirectToFileNeeded
abebe960-5fbb-4d57-aee4-c7281d6f8f20,TRUE,UriToFile,Download the specified Uri and output the file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCUriToFile.exe,.html,Results are written to Console.Write(...),TRUE
eda851fe-dbe3-46b3-9bd2-830a1e5097f0,TRUE,CsvToXml,Convert a CSV into an Xml file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCCsvToXml.exe,.xml,Results are saved to a file with the same name as input file + .xml,FALSE
32486b3f-4ba8-442f-8748-7c8fb2b69eb4,TRUE,XmlToJson,Convert an Xml file into a Json file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCXmlToJson.exe,.json,Results are saved to a file with the same name as input file + .json,FALSE
1a13c7ef-2395-496f-9793-a64538c16f0b,TRUE,JsonToJs,Convert a Json file into a JS file.  Adds var filename = + json.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCJsonToJs.exe,.js,Results are saved to a file with the same name as input file + .js,FALSE
84f32c1a-44cb-407b-a50a-87cc9fdfc439,TRUE,JsonToXml,Convert a Json file to an Xml file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCJsonToXml.exe,.xml,Results are saved to a file with the same name as input file + .xml,FALSE
6bdd8f02-ec35-4249-83c6-36996be2bb9d,TRUE,XsdFromXml,Derive an Xsd from an Xml file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCXsdFromXml.exe,.xsd,Results are saved to a file with the same name as input file + .xsd,FALSE
3fe4aec1-199d-4017-817e-cc37b1487916,FALSE,XsltProc,Process an Xml file given the specified Xslt file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCXsltProc.exe,._raw,Results are written to Console.Write(...),TRUE
73196e5c-7506-4424-93dc-8f01450fea45,TRUE,FileSetToFiles,Extract the files (and their contents) from an Xml File Set.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCFileSetToFiles.exe,._multiple,Results are created as multiple files as specified by the <RelativePath>...</RelativePath> fields of the FileSet.,FALSE
8be12d5d-66cb-4ecf-bd83-8d54ab9ed136,FALSE,MSSQLDbToXml,Extract an entire Database into a single XML file.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCMSSQLDbToXml.exe,.xml,Results are written to Console.Write(...),TRUE
c7e47013-4710-4b4e-ba55-061d9db3723d,TRUE,HtmlToXml,Interpret html (liberally) to create a valid xhtml document.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCHtmlToXml.exe,.xml,Results are written to Console.Write(...),TRUE
7eeec9e7-654f-461c-b520-d4f5c259c8b1,TRUE,XsdToOdxml,"Convert an XSD into an ODXML file, which powers the ODXML4 stack.",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCXsdToOdxml.exe,.odxml,Results are saved to a file with the same name as input file + .odxml,FALSE
8b37766d-1804-4f14-8061-1206d44f58f6,TRUE,OdxmlToSqlSchema,Converts an Odxml object model into a SQL script which will create that database structure,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCOdxmlToSqlSchema.exe,.sql,Results are saved to a file with the same name as input file + .sql,
a38b6e11-6b93-4e25-b668-b09cc369491f,TRUE,OdxmlToUpdateSqlSchema,Convers an Odxml object model into a SQL script which will 'fill in the gaps' in a sql data model - if it already exists for the most part.  Tables will not be added.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCOdxmlToUpdateSqlSchema.exe,.sql,Results are saved to a file with the same name as input file + .sql,
e6d39f19-741e-4fa6-abab-07d29c95ae03,TRUE,StaticDataToUpdateInsertSqlData,Moves static data (from a spec doc set) into a sql data base created to match the structure,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCStaticDataToUpdateInsertSqlData.exe,.sql,Results are saved to a file with the same name as input file + .sql,
c0d05136-ac25-4c13-ab6e-756eb5fed9d7,TRUE,GetSqlSchema,"Connect to a SQL Server and extract the database objects as one, large xml document.",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCGetSqlSchema.exe,.xml,Results are saved to a file with the same name as input file + .xml,
e1b03a40-390c-4bf9-ab84-47742d6dd93a,TRUE,SqlSchemaToOdxml,"Convert the Xml produced by the GetSqlSchema tool, into an Odxml object model.",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCSqlSchemaToOdxml.exe,.odxml,Results are saved to a file with the same name as input file + .odxml,
6a159d08-daee-472d-a819-665bdb251801,TRUE,MultiLinqualObjectListToResx,"Convert a list of objects (with multiple languages for DisplayName + Description, to create multiple language files (resx and cs)",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCMultiLinqualObjectListToResx.exe,._multiple,Results are saved to a file with the same name as input file + ._multiple,
0e2672f8-b00e-4567-8193-ba46325a2cd0,TRUE,MultiLinqualPropertyListToResx,"Convert a list of object properties / attributes (with multiple languages for DisplayName + Description, to create multiple language files (resx and cs)",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCMultiLinqualPropertyListToResx.exe,._multiple,Results are saved to a file with the same name as input file + ._multiple,
26b8112e-25c6-4eb0-a77a-e5275429b28f,TRUE,MultiLinqualTokenListToResx,"Convert a list of tokens (with multiple languages for DisplayName + Description, to create multiple language files (resx and cs)",v16.11.30,CODEiverse.OST.CommandLineTools,CLBCMultiLinqualTokenListToResx.exe,._multiple,Results are saved to a file with the same name as input file + ._multiple,
6d7f0a85-1015-46bc-9b78-15065431568d,TRUE,OdxmlToOdxmlSubset,Trim down an Odxml Data model to a much smaller list of objects and/or properties.,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCOdxmlToOdxmlSubset.exe,.odxml,Results are saved to a file with the same name as input file + .odxml,
320c899c-3307-48a7-b51e-8c99c6b8c29f,TRUE,OdxmlCleanup,Applys a mapping from one odxml model to another,v16.11.30,CODEiverse.OST.CommandLineTools,CLBCOdxmlCleanup.exe,.odxml,Results are saved to a file with the same name as input file + .odxml,
